condition,episode,anticipatory_rate
full,0,1.000000
full,1,0.000000
full,2,1.000000
full,3,1.000000
full,4,1.000000
full,5,0.000000
full,6,1.000000
full,7,1.000000
full,8,1.000000
full,9,0.000000
full,10,1.000000
full,11,0.000000
full,12,1.000000
full,13,1.000000
full,14,1.000000
full,15,0.000000
full,16,1.000000
full,17,1.000000
full,18,0.000000
full,19,1.000000
reactive,0,0.000000
reactive,1,0.000000
reactive,2,0.166667
reactive,3,0.000000
reactive,4,0.200000
reactive,5,0.000000
reactive,6,0.000000
reactive,7,0.000000
reactive,8,0.384615
reactive,9,0.000000
reactive,10,0.272727
reactive,11,0.000000
reactive,12,0.000000
reactive,13,0.000000
reactive,14,0.000000
reactive,15,0.000000
reactive,16,0.000000
reactive,17,0.076923
reactive,18,0.000000
reactive,19,0.000000
