saturation,mean_food_attention_weight_sat,mean_food_distance
1.0,0.008121,0.944419
1.0,0.009555,0.016630
1.0,0.009211,0.054084
1.0,0.000000,1.000000
1.0,0.000000,0.207792
1.0,0.000000,1.000000
1.0,0.000000,1.000000
1.0,0.000000,0.852981
1.0,0.007145,0.950285
1.0,0.007167,0.135018
1.0,0.000000,1.000000
1.0,0.007937,0.153393
1.0,0.009477,0.026944
1.0,0.000000,0.264200
1.0,0.009675,0.966873
0.75,0.008121,0.944419
0.75,0.009555,0.016630
0.75,0.009211,0.054084
0.75,0.000000,1.000000
0.75,0.000000,0.207792
0.75,0.000000,1.000000
0.75,0.000000,1.000000
0.75,0.000000,0.852981
0.75,0.007145,0.950285
0.75,0.007167,0.135018
0.75,0.000000,1.000000
0.75,0.007937,0.153393
0.75,0.009477,0.026944
0.75,0.000000,0.264200
0.75,0.009675,0.966873
0.5,0.213188,0.270064
0.5,0.124622,0.126960
0.5,0.158033,0.458910
0.5,0.246425,0.156262
0.5,0.231375,0.207792
0.5,0.000000,1.000000
0.5,0.000000,1.000000
0.5,0.150802,0.483668
0.5,0.203365,0.303695
0.5,0.258902,0.113542
0.5,0.000000,1.000000
0.5,0.247263,0.153393
0.5,0.284194,0.026944
0.5,0.214900,0.264200
0.5,0.009675,0.966873
0.25,0.332038,0.594293
0.25,0.732648,0.056670
0.25,0.171988,0.778557
0.25,0.482441,0.159259
0.25,0.624467,0.207792
0.25,0.000000,1.000000
0.25,0.000000,1.000000
0.25,0.445213,0.369047
0.25,0.254053,0.687476
0.25,0.389687,0.529187
0.25,0.000000,1.000000
0.25,0.653867,0.153393
0.25,0.717241,0.066934
0.25,0.579939,0.264200
0.25,0.228204,0.403545
