condition,episode,coverage_at_200
full,0,0.013333
full,1,0.004444
full,2,0.004444
full,3,0.004444
full,4,0.004444
full,5,0.004444
full,6,0.004444
full,7,0.004444
full,8,0.004444
full,9,0.017778
full,10,0.004444
full,11,0.004444
full,12,0.008889
full,13,0.004444
full,14,0.004444
full,15,0.004444
full,16,0.004444
full,17,0.004444
full,18,0.004444
full,19,0.004444
no_epistemic,0,0.026667
no_epistemic,1,0.004444
no_epistemic,2,0.017778
no_epistemic,3,0.004444
no_epistemic,4,0.004444
no_epistemic,5,0.004444
no_epistemic,6,0.031111
no_epistemic,7,0.008889
no_epistemic,8,0.004444
no_epistemic,9,0.035556
no_epistemic,10,0.017778
no_epistemic,11,0.004444
no_epistemic,12,0.022222
no_epistemic,13,0.004444
no_epistemic,14,0.008889
no_epistemic,15,0.008889
no_epistemic,16,0.008889
no_epistemic,17,0.008889
no_epistemic,18,0.008889
no_epistemic,19,0.004444
efe_only,0,0.013333
efe_only,1,0.004444
efe_only,2,0.004444
efe_only,3,0.004444
efe_only,4,0.004444
efe_only,5,0.004444
efe_only,6,0.004444
efe_only,7,0.004444
efe_only,8,0.004444
efe_only,9,0.017778
efe_only,10,0.004444
efe_only,11,0.004444
efe_only,12,0.008889
efe_only,13,0.004444
efe_only,14,0.004444
efe_only,15,0.004444
efe_only,16,0.004444
efe_only,17,0.004444
efe_only,18,0.004444
efe_only,19,0.004444
