condition,episode,persistence_steps
full,0,6
full,1,6
full,2,6
full,3,6
full,4,6
full,5,6
full,6,6
full,7,6
full,8,6
full,9,6
full,10,6
full,11,6
full,12,6
full,13,6
full,14,6
full,15,6
full,16,6
full,17,6
full,18,6
full,19,6
full,20,6
full,21,6
full,22,6
full,23,6
full,24,6
no_memory,0,6
no_memory,1,6
no_memory,2,6
no_memory,3,6
no_memory,4,6
no_memory,5,6
no_memory,6,6
no_memory,7,6
no_memory,8,6
no_memory,9,6
no_memory,10,6
no_memory,11,6
no_memory,12,6
no_memory,13,6
no_memory,14,6
no_memory,15,6
no_memory,16,6
no_memory,17,6
no_memory,18,6
no_memory,19,6
no_memory,20,6
no_memory,21,6
no_memory,22,6
no_memory,23,6
no_memory,24,6
