episode,self_caused_pe,external_pe
0,0.300000,0.400000
1,0.226924,0.600000
2,0.218622,0.600000
3,0.300000,0.400000
4,0.238433,0.400000
5,0.230010,0.600000
6,0.249353,0.600000
7,0.299015,0.400000
8,0.226726,0.600000
9,0.300000,0.400000
10,0.299022,0.400000
11,0.249210,0.600000
12,0.226977,0.400000
13,0.300000,0.400000
14,0.218647,0.600000
15,0.230541,0.600001
16,0.300097,0.400066
17,0.249803,0.600000
18,0.226017,0.600000
19,0.249466,0.600000
20,0.299015,0.400000
21,0.226526,0.600000
22,0.300120,0.400000
23,0.249148,0.600000
24,0.299015,0.400000
25,0.299022,0.400000
26,0.299022,0.400000
27,0.227409,0.600000
28,0.227431,0.400000
29,0.229020,0.600000
30,0.249358,0.599998
31,0.229268,0.599999
32,0.228714,0.600000
33,0.248913,0.401326
34,0.300000,0.400000
35,0.249129,0.600000
36,0.299005,0.400000
37,0.299022,0.400000
38,0.224023,0.600000
39,0.300000,0.400000
40,0.298501,0.400000
41,0.299022,0.400000
42,0.215833,0.600000
43,0.337615,0.600000
44,0.219287,0.600000
45,0.236543,0.400000
46,0.300000,0.400000
47,0.215865,0.599999
48,0.249159,0.599998
49,0.213462,0.600000
